ID,GEO POINT,GEO SHAPE,NAME,ADDRESS,CITY,LIB_STATE,ID_STATE,TYPE,TOT_STUDENTS,DORM_CAP,TOT_EMP
1,45.48038428000007, -122.67453292999994,AMERICAN COLLEGE OF HEALTHCARE SCIENCES,5005 S. MACADAM AVE,PORTLAND,OREGON,1,COMPUTER TRAINING,856,2,5
2,42.388647, -72.529312,UNIVERSITY OF MASSACHUSETTS-AMHERST,374 WHITMORE BUILDING 181 PRESIDENTS DRIVE,AMHERST,MASSACHUSETTS,2,COLLEGES,6941,24701,31642
3,39.24427778200004, -119.93912465099999,SIERRA NEVADA UNIVERSITY,999 TAHOE BLVD.,INCLINE VILLAGE,NEVADA,3,COLLEGES,146,471,617
4,33.13142857200006, -117.118565978,UNITED EDUCATION INSTITUTE-UEI COLLEGE SAN MARCOS,2085 MONTIEL ROAD,SAN MARCOS,CALIFORNIA,4,OTHER TECHNICAL AND TRADE SCHOOLS,719,2,1000
5,26.70538, -80.136711,FLORIDA CAREER COLLEGE-WEST PALM BEACH,6058 OKEECHOBEE BLVD.,WEST PALM BEACH,FLORIDA,5,JUNIOR COLLEGES,869,2,1000
6,38.72876088500004, -90.38025209799997,AMERICAN TRADE SCHOOL,3925 INDUSTRIAL DRIVE,SAINT ANN,MISSOURI,6,OTHER TECHNICAL AND TRADE SCHOOLS,128,2,1000
7,33.937727, -83.37143,UNIVERSITY OF GEORGIA,ADMINISTRATION BUILDING,ATHENS,GEORGIA,7,COLLEGES,4196,34951,39147
8,33.463987, -86.908933,MIDFIELD INSTITUTE OF COSMETOLOGY,26 B PHILLIPS DRIVE,MIDFIELD,ALABAMA,8,COSMETOLOGY AND BARBER SCHOOLS,17,2,1000
9,41.33127, -74.159642,YESHIVAS MAHARIT D'SATMAR,475 COUNTY ROUTE 105,MONROE,NEW YORK,9,COLLEGES,999,143,143
10,47.64894, -122.377121,SEATTLE FILM INSTITUTE,3210 16TH AVENUE W,SEATTLE,WASHINGTON,10,COLLEGES,8,88,96
11,43.613794, -116.594823,PAUL MITCHELL THE SCHOOL-NAMPA,16803 NORTH MARKETPLACE BOULEVARD,NAMPA,IDAHO,11,COSMETOLOGY AND BARBER SCHOOLS,148,2,1000
12,39.757598494000035, -84.20062816799998,SINCLAIR COMMUNITY COLLEGE,444 W. THIRD ST.,DAYTON,OHIO,12,JUNIOR COLLEGES,18687,2,1000
13,43.03572956100004, -88.11102224999996,HERZING UNIVERSITY-BROOKFIELD,15895 W BLUEMOUND RD,BROOKFIELD,WISCONSIN,13,COLLEGES,256,242,498
14,33.822163525000065, -85.76640599199999,JACKSONVILLE STATE UNIVERSITY,700 PELHAM ROAD NORTH,JACKSONVILLE,ALABAMA,8,COLLEGES,2754,6484,9238
15,32.35010879600003, -86.34305734699996,H COUNCILL TRENHOLM STATE COMMUNITY COLLEGE,1225 AIR BASE BLVD,MONTGOMERY,ALABAMA,8,JUNIOR COLLEGES,1526,2,1000
16,37.172938671000054, -104.51218416799998,TRINIDAD STATE JUNIOR COLLEGE,600 PROSPECT STREET,TRINIDAD,COLORADO,14,JUNIOR COLLEGES,1404,50,307
17,38.68693697300006, -87.52065033499997,VINCENNES UNIVERSITY,1002 N FIRST ST,VINCENNES,INDIANA,15,JUNIOR COLLEGES,16048,50,1802
18,37.35462881900003, -79.94219614599996,HOLLINS UNIVERSITY,7916 WILLIAMSON RD NW,ROANOKE,VIRGINIA,16,COLLEGES,73,722,795
19,40.76007201500005, -73.99108024799995,DIGITAL FILM ACADEMY,630 9TH AVE STE 901,NEW YORK,NEW YORK,9,OTHER TECHNICAL AND TRADE SCHOOLS,102,2,1000
20,42.11562784100005, -79.21886221899996,JAMESTOWN COMMUNITY COLLEGE,525 FALCONER ST,JAMESTOWN,NEW YORK,9,JUNIOR COLLEGES,3430,50,340
21,40.825397819000045, -81.37786146599996,MALONE UNIVERSITY,2600 CLEVELAND AVENUE NW,CANTON,OHIO,12,COLLEGES,510,953,1463
22,40.05369676600003, -75.38209657799996,VALLEY FORGE MILITARY COLLEGE,1001 EAGLE RD,WAYNE,PENNSYLVANIA,17,JUNIOR COLLEGES,110,50,382
23,42.91063746400005, -85.59656282699996,PAUL MITCHELL THE SCHOOL-GRAND RAPIDS,2855 29TH STREET SE SUITE B,KENTWOOD,MICHIGAN,18,COSMETOLOGY AND BARBER SCHOOLS,104,2,1000
24,37.79078029800007, -122.40595565299998,BAY AREA MEDICAL ACADEMY,530 BUSH STREET #201,SAN FRANCISCO,CALIFORNIA,4,OTHER TECHNICAL AND TRADE SCHOOLS,160,2,1000
25,41.303928, -72.927753,GATEWAY COMMUNITY COLLEGE,20 CHURCH STREET,NEW HAVEN,CONNECTICUT,19,JUNIOR COLLEGES,6003,2,1000
26,41.96509531100003, -86.08271545099996,SOUTHWESTERN MICHIGAN COLLEGE,58900 CHERRY GROVE RD,DOWAGIAC,MICHIGAN,18,JUNIOR COLLEGES,1759,50,390
27,35.65784679700005, -88.40923891099999,ELITE COLLEGE OF COSMETOLOGY,459 N MAIN ST,LEXINGTON,TENNESSEE,20,COSMETOLOGY AND BARBER SCHOOLS,72,2,1000
28,35.31952270900007, -89.15938560399997,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-WHITEVILLE,1685 HIGHWAY 64,WHITEVILLE,TENNESSEE,20,OTHER TECHNICAL AND TRADE SCHOOLS,280,2,1000
29,33.46951272900003, -81.99309267899997,PAINE COLLEGE,1235 15TH ST,AUGUSTA,GEORGIA,7,COLLEGES,34,155,189
30,36.99901841700006, -122.06072612599996,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,1156 HIGH ST,SANTA CRUZ,CALIFORNIA,4,COLLEGES,751,18410,19161
31,33.743896204000066, -90.73437836699998,DELTA STATE UNIVERSITY,1003 W SUNFLOWER ROAD,CLEVELAND,MISSISSIPPI,21,COLLEGES,1078,1921,2999
32,41.76388881400004, -74.66880432799996,SULLIVAN COUNTY COMMUNITY COLLEGE,112 COLLEGE ROAD,LOCH SHELDRAKE,NEW YORK,9,JUNIOR COLLEGES,1701,50,382
33,42.43518759700004, -123.29874847199994,PHAGANS GRANTS PASS COLLEGE OF BEAUTY,304 NE AGNESS AVE SUITE F,GRANTS PASS,OREGON,1,COSMETOLOGY AND BARBER SCHOOLS,39,2,1000
34,35.66901553100007, -105.91512160499997,ST. JOHN'S COLLEGE,1160 CAMINO CRUZ BLANCA,SANTA FE,NEW MEXICO,22,COLLEGES,19,336,355
35,35.05861555800004, -78.96130513099996,GRACE COLLEGE OF DIVINITY,5117 CLIFFDALE ROAD,FAYETTEVILLE,NORTH CAROLINA,23,COLLEGES,161,86,247
36,34.09673014800006, -117.95948561399996,BALDWIN PARK ADULT & COMMUNITY EDUCATION,4640 N. MAINE AVE,BALDWIN PARK,CALIFORNIA,4,COSMETOLOGY AND BARBER SCHOOLS,347,2,1000
37,47.675989945000026, -122.31771230099997,SEATTLE INSTITUTE OF EAST ASIAN MEDICINE,226 SOUTH ORCAS STREET,SEATTLE,WASHINGTON,10,COLLEGES,999,31,31
38,35.85460369200007, -81.48414771799997,CALDWELL COMMUNITY COLLEGE AND TECHNICAL INSTITUTE,2855 HICKORY BOULEVARD,HUDSON,NORTH CAROLINA,23,JUNIOR COLLEGES,3845,2,1000
39,36.13657217700006, -81.18446792799995,WILKES COMMUNITY COLLEGE,1328 SOUTH COLLEGIATE DR,WILKESBORO,NORTH CAROLINA,23,JUNIOR COLLEGES,2435,2,1000
40,41.603550090000056, -93.65390881999997,DRAKE UNIVERSITY,2507 UNIVERSITY AVENUE,DES MOINES,IOWA,24,COLLEGES,1130,3644,4774
41,38.00647380000004, -121.86096733499994,LOS MEDANOS COLLEGE,2700 EAST LELAND ROAD,PITTSBURG,CALIFORNIA,4,JUNIOR COLLEGES,2894,8521,2
42,36.71775160800007, -95.95412421099996,OKLAHOMA WESLEYAN UNIVERSITY,2201 SILVER LAKE RD,BARTLESVILLE,OKLAHOMA,25,COLLEGES,364,570,934
43,40.90264198800003, -81.15208609599995,RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-ALLIANCE,2445 W. STATE ST.,ALLIANCE,OHIO,12,COSMETOLOGY AND BARBER SCHOOLS,421,2,1000
44,39.950931973000024, -75.16608,EMPIRE BEAUTY SCHOOL-CENTER CITY PHILADELPHIA,1522 CHESTNUT ST,PHILADELPHIA,PENNSYLVANIA,17,COSMETOLOGY AND BARBER SCHOOLS,186,2,1000
